time,OE20-601b-2 ||| supplyAirFlowRate,OE20-601b-2 ||| supplyDamperPosition,OE20-601b-2 ||| returnAirFlowRate,OE20-601b-2 ||| returnDamperPosition,OE20-601b-2 ||| valvePosition,OE20-601b-2 ||| shadePosition,OE20-601b-2 ||| supplyAirTemperature,OE20-601b-2 ||| supplyWaterTemperature,OE20-601b-2 ||| globalIrradiation,OE20-601b-2 ||| outdoorTemperature,OE20-601b-2 ||| numberOfPeople,OE20-601b-2 ||| adjacentIndoorTemperature_OE20-601b-1,OE20-601b-2 ||| adjacentIndoorTemperature_OE20-603-1,OE20-601b-2 ||| adjacentIndoorTemperature_OE20-603c-2,Supply damper ||| damperPosition,Exhaust damper ||| damperPosition,Space heater ||| supplyWaterTemperature,Space heater ||| waterFlowRate,Space heater ||| indoorTemperature,Valve ||| valvePosition,Temperature controller ||| actualValue,Temperature controller ||| setpointValue,CO2 controller ||| actualValue,OE20-601b-2| temperature sensor ||| indoorTemperature,OE20-601b-2| Valve position sensor ||| valvePosition,OE20-601b-2| Damper position sensor ||| damperPosition,OE20-601b-2| CO2 sensor ||| indoorCo2Concentration,OE20-601b-2| Heating meter ||| Energy,Heating system| Supply water temperature schedule ||| outdoorTemperature
2022-01-06 05:00:00,0.0,0.0,0.0,0.0,0.0,,21,64.49166666666666,0.0,-1.7,0,,,,0.0,0.0,"[64.49166666666666, 20.752159604454494, 20.7521596044544, 20.752159604454352, 20.752159604454317, 20.7521596044543, 20.752159604454285, 20.752159604454267, 20.752159604454267, 20.752159604454256]",0.0,20.729458299581893,0.0,20.729458299581893,20,500.0468798770739,20.729458299581893,0.0,0.0,500.0468798770739,7.222510388383386,-1.7
2022-01-06 05:10:00,0.0,0.0,0.0,0.0,0.0,,21,64.63333333333333,0.0,-1.8,0,,,,0.0,0.0,"[64.63333333333333, 20.743100792431687, 20.74310079243162, 20.743100792431587, 20.74310079243156, 20.743100792431548, 20.743100792431537, 20.743100792431523, 20.743100792431523, 20.74310079243152]",0.0,20.72040371329058,0.0,20.72040371329058,20,500.04367055689477,20.72040371329058,0.0,0.0,500.04367055689477,7.222824930467509,-1.8
2022-01-06 05:20:00,0.0,0.0,0.0,0.0,0.0,,21,64.77499999999999,0.0,-1.9,0,,,,0.0,0.0,"[64.77499999999999, 20.734040817650644, 20.734040817650598, 20.734040817650577, 20.734040817650556, 20.73404081765055, 20.73404081765054, 20.73404081765053, 20.73404081765053, 20.734040817650527]",0.0,20.711340825189836,0.0,20.711340825189836,20,500.04068094155815,20.711340825189836,0.0,0.0,500.04068094155815,7.223139512925183,-1.9
2022-01-06 05:30:00,0.0,0.0,0.0,0.0,0.0,,21,65.05833333333332,0.0,-2.1,0,,,,0.0,0.0,"[65.05833333333332, 20.724966115789254, 20.72496611578922, 20.724966115789204, 20.724966115789186, 20.72496611578918, 20.72496611578918, 20.72496611578917, 20.72496611578917, 20.72496611578917]",0.0,20.702229224261828,0.0,20.702229224261828,20,500.0378959904277,20.702229224261828,0.0,0.0,500.0378959904277,7.223454606739813,-2.1
2022-01-06 05:40:00,0.0,0.0,0.0,0.0,0.0,,21,65.48333333333333,0.0,-2.4,0,,,,0.0,0.0,"[65.48333333333333, 20.715847870670395, 20.71584787067037, 20.715847870670355, 20.715847870670345, 20.715847870670338, 20.715847870670338, 20.715847870670334, 20.715847870670334, 20.715847870670334]",0.0,20.69300188042689,0.0,20.69300188042689,20,500.0353016925246,20.69300188042689,0.0,0.0,500.0353016925246,7.223771212473107,-2.4
2022-01-06 05:50:00,0.0,0.0,0.0,0.0,0.0,,21,65.48333333333333,0.0,-2.4,0,,,,0.0,0.0,"[65.48333333333333, 20.706661427651248, 20.70666142765123, 20.706661427651223, 20.706661427651213, 20.70666142765121, 20.70666142765121, 20.706661427651206, 20.706661427651206, 20.706661427651206]",0.0,20.683644565870054,0.0,20.683644565870054,20,500.03288499603883,20.683644565870054,0.0,0.0,500.03288499603883,7.2240901861890485,-2.4
2022-01-06 06:00:00,0.0,0.0,0.0,0.0,0.0,,21,65.48333333333333,0.0,-2.4,0,,,,0.0,0.0,"[65.48333333333333, 20.697399138792765, 20.69739913879275, 20.697399138792747, 20.697399138792736, 20.697399138792733, 20.697399138792733, 20.697399138792733, 20.697399138792733, 20.697399138792733]",0.0,20.67419224337209,0.0,20.67419224337209,20,500.030633742666,20.67419224337209,0.0,0.0,500.030633742666,7.224411793441079,-2.4
2022-01-06 06:10:00,0.0,0.0,0.0,0.0,0.0,,21,65.76666666666667,0.0,-2.6,0,,,,0.0,0.0,"[65.76666666666667, 20.688059093336364, 20.688059093336353, 20.68805909333635, 20.688059093336342, 20.68805909333634, 20.68805909333634, 20.68805909333634, 20.68805909333634, 20.68805909333634]",0.0,20.664657376823016,0.0,20.664657376823016,20,500.0285366064396,20.664657376823016,0.0,0.0,500.0285366064396,7.224736100574981,-2.6
2022-01-06 06:20:00,0.0,0.0,0.0,0.0,0.0,,21,65.90833333333333,0.0,-2.7,0,,,,0.0,0.0,"[65.90833333333333, 20.67864056161473, 20.67864056161472, 20.678640561614717, 20.678640561614714, 20.678640561614714, 20.678640561614714, 20.678640561614714, 20.678640561614714, 20.678640561614714]",0.0,20.655042195809074,0.0,20.655042195809074,20,500.02658303675025,20.655042195809074,0.0,0.0,500.02658303675025,7.225063132926427,-2.7
2022-01-06 06:30:00,0.0,0.0,0.0,0.0,0.0,,21,66.05,0.0,-2.8,0,,,,0.0,0.0,"[66.05, 20.669143669818613, 20.669143669818606, 20.6691436698186, 20.6691436698186, 20.6691436698186, 20.6691436698186, 20.6691436698186, 20.6691436698186, 20.6691436698186]",0.0,20.645348970894702,0.0,20.645348970894702,20,500.0247632052662,20.645348970894702,0.0,0.0,500.0247632052662,7.2253928861137915,-2.8
2022-01-06 06:40:00,0.0,0.0,0.0,0.0,0.0,,21,66.33333333333333,0.0,-3.0,0,,,,0.0,0.0,"[66.33333333333333, 20.659563856741908, 20.659563856741904, 20.659563856741897, 20.659563856741897, 20.659563856741897, 20.659563856741897, 20.659563856741897, 20.659563856741897, 20.659563856741897]",0.0,20.635561396484263,0.0,20.635561396484263,20,500.02306795648735,20.635561396484263,0.0,0.0,500.02306795648735,7.225725518512288,-3.0
2022-01-06 06:50:00,0.0,0.0,0.0,0.0,0.0,,21,66.33333333333333,0.0,-3.0,0,,,,0.0,0.0,"[66.33333333333333, 20.649901114958286, 20.649901114958283, 20.649901114958276, 20.649901114958276, 20.649901114958276, 20.649901114958276, 20.649901114958276, 20.649901114958276, 20.649901114958276]",0.0,20.62569087476004,0.0,20.62569087476004,20,500.02148876168417,20.62569087476004,0.0,0.0,500.02148876168417,7.226061030379775,-3.0
