,time,reference_T_a,reference_T_b
2024-01-02 17:10:00+01:00,2024-01-02 17:10:00+01:00,14.512831628805797,12.567698222074062
2024-01-02 17:20:00+01:00,2024-01-02 17:20:00+01:00,14.419513721201016,12.442997388809985
2024-01-02 17:30:00+01:00,2024-01-02 17:30:00+01:00,14.324520124514622,12.320029507509386
2024-01-02 17:40:00+01:00,2024-01-02 17:40:00+01:00,14.229918001958865,12.196856029600436
2024-01-02 17:50:00+01:00,2024-01-02 17:50:00+01:00,14.133124482515727,12.06984251094565
2024-01-02 18:00:00+01:00,2024-01-02 18:00:00+01:00,14.030795821374154,11.93725117330465
2024-01-02 18:10:00+01:00,2024-01-02 18:10:00+01:00,13.923649594756668,11.808273543866413
2024-01-02 18:20:00+01:00,2024-01-02 18:20:00+01:00,13.812473574622443,11.681185003999246
2024-01-02 18:30:00+01:00,2024-01-02 18:30:00+01:00,13.696963253805427,11.553952013875698
2024-01-02 18:40:00+01:00,2024-01-02 18:40:00+01:00,13.577438477047345,11.425697603465789
2024-01-02 18:50:00+01:00,2024-01-02 18:50:00+01:00,13.454473849912889,11.29616246305794
2024-01-02 19:00:00+01:00,2024-01-02 19:00:00+01:00,13.329740871269431,11.166432680103158
2024-01-02 19:10:00+01:00,2024-01-02 19:10:00+01:00,13.204860888855226,11.037715209861044
2024-01-02 19:20:00+01:00,2024-01-02 19:20:00+01:00,13.078997460519322,10.908877593308837
2024-01-02 19:30:00+01:00,2024-01-02 19:30:00+01:00,12.951984459127504,10.779540166827006
2024-01-02 19:40:00+01:00,2024-01-02 19:40:00+01:00,12.824400594870685,10.65012600466325
2024-01-02 19:50:00+01:00,2024-01-02 19:50:00+01:00,12.695322119859506,10.519596708012143
2024-01-02 20:00:00+01:00,2024-01-02 20:00:00+01:00,12.566089716185235,10.389207584677168
2024-01-02 20:10:00+01:00,2024-01-02 20:10:00+01:00,12.436722108201305,10.258913103431926
2024-01-02 20:20:00+01:00,2024-01-02 20:20:00+01:00,12.306943332324463,10.128388437125821
2024-01-02 20:30:00+01:00,2024-01-02 20:30:00+01:00,12.175732863747909,9.99657553581851
2024-01-02 20:40:00+01:00,2024-01-02 20:40:00+01:00,12.043437627100555,9.863792241925141
2024-01-02 20:50:00+01:00,2024-01-02 20:50:00+01:00,11.91115385461756,9.731112059751569
2024-01-02 21:00:00+01:00,2024-01-02 21:00:00+01:00,11.77840790834401,9.598043455465737
2024-01-02 21:10:00+01:00,2024-01-02 21:10:00+01:00,11.646044891324392,9.465417346969563
2024-01-02 21:20:00+01:00,2024-01-02 21:20:00+01:00,11.513038214660384,9.332195836010996
2024-01-02 21:30:00+01:00,2024-01-02 21:30:00+01:00,11.37698616667426,9.195968148967237
2024-01-02 21:40:00+01:00,2024-01-02 21:40:00+01:00,11.235721661413038,9.05455990751376
2024-01-02 21:50:00+01:00,2024-01-02 21:50:00+01:00,11.088892754757863,8.907613277791583
2024-01-02 22:00:00+01:00,2024-01-02 22:00:00+01:00,10.83510996569299,8.754622127910208
2024-01-02 22:10:00+01:00,2024-01-02 22:10:00+01:00,10.605080285303627,8.595427972740334
